prefecture_code,prefecture_name,population,aging_rate,pop_density,income_per_capita,pa_rate_permil,solo_65plus_households,pop_65plus,solo_elderly_rate,bz_count_outpatient_ext,bz_count_outpatient_int,bz_count_inpatient,bz_count_total,bz_count_outpatient,bz_drug_rate,bz_drug_rate_all,log_bz_drug_rate,log_bz_drug_rate_all,homecare_patients,homecare_rate,psychiatry_patients,psychiatry_rate
11,埼玉県,7344765,26.806072079909978,1933.9780132973472,3049,13.1,332963,1934994,0.172074,385382947.25898,45749334.37699999,10402979.31592,441535260.9519,431132281.63597995,5869926.153334789,6011564.167837909,15.585352611373322,15.609195533520937,566452.0,2927.409594034917,511095.0,6958.629717901117
12,千葉県,6284480,27.522977239166963,1218.4868572846726,3059,14.0,299889,1699991,0.176406,329086712.84499,38607605.6181,7823537.0454,375517855.50849,367694318.46309,5850831.229681533,5975321.037038705,15.582094299657985,15.60314838438676,490079.0,2882.8329091154014,469518.0,7471.07159223993
13,東京都,14047594,22.72285204142432,6402.644448799697,5761,19.5,811408,3107822,0.261086,926500278.31831,84646869.66574001,21953640.08098,1033100788.06503,1011147147.98405,7198009.481083023,7354289.909467984,15.789315084803217,15.810794362077203,1509251.0,4856.298076273351,1645948.0,11716.938857999456
14,神奈川県,9237337,25.8224962454006,3823.227005392966,3199,16.3,459724,2308578,0.199137,538858896.04512,32397967.84177,10465500.08066,581722363.96755,571256863.88689,6184215.904290274,6297511.544372042,15.637510782011585,15.655665120374676,934773.0,4049.128944311173,780447.0,8448.83108627519
15,新潟県,2201272,32.9253268110438,174.92375347460066,2919,9.0,98746,715935,0.137926,126871754.55131,24324381.505,3976554.762,155172690.81831,151196136.05631,6868580.350647716,7049228.392416294,15.742467998106243,15.76842872091438,134039.0,1872.2230370075497,158460.0,7198.565193215559
16,富山県,1034814,32.37548003795852,243.62264897201013,3291,4.0,46175,333008,0.13866,46778711.54218,17422454.7074,2472091.408,66673257.65758,64201166.24958,6204126.176257763,6443018.519036273,15.640725140959853,15.678507702404445,76496.0,2297.121991063278,75230.0,7269.905509589163
17,石川県,1132526,29.79410627217388,270.5450671151361,2963,6.1,52169,333660,0.156354,58938712.1516,10321097.035,2116602.923,71376412.1096,69259809.1866,6115516.039949634,6302408.254609607,15.626339712741473,15.65644238095446,98663.0,2956.9921476952586,81947.0,7235.772070574981
18,福井県,766863,31.25877764346435,182.9994845508433,3263,5.3,31367,232684,0.134805,35832107.75749999,9178006.225,1640798.6150000002,46650912.5975,45010113.982499994,5869381.360490725,6083343.778158549,15.585259796214707,15.62106506628076,46951.0,2017.8009661171372,66756.0,8705.075091639575
19,山梨県,809974,30.701479306743177,181.39418221070616,3243,8.5,42105,245884,0.171239,45174579.12888999,4561408.834,1422182.468,51158170.43089,49735987.96288999,6140442.528141643,6316026.246631374,15.63040737051343,15.658600809927151,50204.0,2041.7757967171513,53511.0,6606.508357058375
20,長野県,2048011,31.78679216078429,151.01588607800284,2949,5.2,96359,646942,0.148945,134565066.4772,16374666.442,4949334.6121,155889067.5313,150939732.9192,7370064.561137612,7611729.99223637,15.812937024118686,15.845201035439098,165298.0,2555.066760235075,179847.0,8781.544630375522
21,岐阜県,1978742,30.476838314444223,186.2995926106904,3092,5.7,85160,593751,0.143427,100877502.183,17400326.075999998,3662412.661,121940240.92,118277828.259,5977425.468252052,6162513.400938576,15.603500509521206,15.633995271925214,182462.0,3073.0390348816254,147200.0,7439.069873687424
22,静岡県,3633202,29.83321598964219,467.1468595667206,3314,8.7,166069,1084282,0.15316,188248657.73257,30339136.04,5150627.473649999,223738421.24622,218587793.77256998,6016395.2836250225,6158160.797176155,15.609998847843105,15.633288719041255,271385.0,2502.9005369451856,244689.0,6734.8030745331525
23,愛知県,7542415,25.25447088233676,1458.0152597973738,3597,9.9,323796,1864603,0.173654,378365504.4988,77445515.05337,11068299.23086,466879318.78303,455811019.55217,6043303.365727953,6190050.783244226,15.614461335263197,15.638453848705353,652325.0,3498.465893275941,671274.0,8899.987603440013
24,三重県,1770254,29.728954150082416,306.5645624115723,3111,8.7,88354,522073,0.169237,90389006.88502,19495255.659,3409696.95862,113293959.50264,109884262.54402,6207259.666918985,6399870.273002631,15.641230079049345,15.671788278281126,134503.0,2576.3255330193288,128200.0,7241.898620198005
25,滋賀県,1413610,26.511979966185866,351.8736091681643,3161,7.6,53625,365311,0.146793,69380917.3482,10262164.8725,1462379.28671,81105461.50740999,79643082.2207,5634020.855872553,5737470.837600893,15.54433392919942,15.562529050566933,100758.0,2758.1430616652656,96454.0,6823.2397903240635
