variable,beta,se,t,p,ci_lo,ci_hi,r2,r2_adj,n,spec
solo_elderly_rate,838423.4941028021,4629575.208553013,0.18110160356696176,0.856287825946322,-8235377.178380614,9912224.166586218,0.3224127533952028,0.25788063467093636,47,Spec2_HC3
aging_rate,151479.9506198074,56854.001264080296,2.664367454389014,0.007713325648868208,40048.15576521533,262911.7454743995,0.3224127533952028,0.25788063467093636,47,Spec2_HC3
pop_density,107.3667040192658,139.70290447097622,0.7685359472363126,0.44216884281712776,-166.4459572794873,381.1793653180189,0.3224127533952028,0.25788063467093636,47,Spec2_HC3
income_per_capita,231.23202454435796,495.9669321756289,0.4662246806052695,0.641054684988877,-740.8453000426945,1203.3093491314103,0.3224127533952028,0.25788063467093636,47,Spec2_HC3
