spec,variable,beta,se,t,p,ci_lo,ci_hi,r2,r2_adj,n
Spec1_Baseline,solo_elderly_rate,838423.4941028021,3311604.467515779,0.2531774257243199,0.8013662737916278,-5844664.888762608,7521511.876968212,0.3224127533952028,0.25788063467093636,47
Spec1_Baseline,aging_rate,151479.9506198074,35697.32486453825,4.2434538496829415,0.00011870477829465285,79439.83247111688,223520.06876849793,0.3224127533952028,0.25788063467093636,47
Spec1_Baseline,pop_density,107.3667040192658,127.01119287629676,0.8453326166602985,0.40271530614107565,-148.95226037753298,363.6856684160646,0.3224127533952028,0.25788063467093636,47
Spec1_Baseline,income_per_capita,231.23202454435796,238.37212211384178,0.9700464236079005,0.3375768044460201,-249.82239355558994,712.2864426443059,0.3224127533952028,0.25788063467093636,47
Spec2_HC3,solo_elderly_rate,838423.4941028021,4629575.208553013,0.18110160356696176,0.856287825946322,-8235377.178380614,9912224.166586218,0.3224127533952028,0.25788063467093636,47
Spec2_HC3,aging_rate,151479.9506198074,56854.001264080296,2.664367454389014,0.007713325648868208,40048.15576521533,262911.7454743995,0.3224127533952028,0.25788063467093636,47
Spec2_HC3,pop_density,107.3667040192658,139.70290447097622,0.7685359472363126,0.44216884281712776,-166.4459572794873,381.1793653180189,0.3224127533952028,0.25788063467093636,47
Spec2_HC3,income_per_capita,231.23202454435796,495.9669321756289,0.4662246806052695,0.641054684988877,-740.8453000426945,1203.3093491314103,0.3224127533952028,0.25788063467093636,47
Spec3_OutlierRemoved,solo_elderly_rate,-9040.067396283373,3899150.0205493225,-0.002318471294677137,0.9981501292065839,-7651233.677991567,7633153.543199001,0.28879931919761803,0.21767925111737974,45
Spec3_OutlierRemoved,aging_rate,123677.07386874477,46469.42157727971,2.6614722041045202,0.007779976419347282,32598.68119486807,214755.4665426215,0.28879931919761803,0.21767925111737974,45
Spec3_OutlierRemoved,pop_density,97.28342858418404,106.44267997683032,0.9139513267174407,0.3607424219241445,-111.34039058832616,305.90724775669423,0.28879931919761803,0.21767925111737974,45
Spec3_OutlierRemoved,income_per_capita,239.79496528606165,444.8509557177432,0.5390456336081493,0.5898553673797012,-632.0968864089375,1111.6868169810607,0.28879931919761803,0.21767925111737974,45
Spec4_NoBig3,solo_elderly_rate,-1509008.3075197488,4471242.088611481,-0.33749197149563487,0.7357460633340733,-10272481.7673579,7254465.152318403,0.35822019757095114,0.2923966280910486,44
Spec4_NoBig3,aging_rate,142701.27793904906,53758.31074689681,2.6544970620619153,0.007942673123714545,37336.92500541879,248065.63087267935,0.35822019757095114,0.2923966280910486,44
Spec4_NoBig3,pop_density,37.57038582138637,370.3555810219391,0.10144409250622519,0.9191979362227232,-688.3132144550202,763.453986097793,0.35822019757095114,0.2923966280910486,44
Spec4_NoBig3,income_per_capita,-290.3788515596202,399.6543908717962,-0.7265749061988159,0.4674864051183186,-1073.687063931634,492.9293608123936,0.35822019757095114,0.2923966280910486,44
Spec5_LogY,solo_elderly_rate,0.17011892990857547,0.6637832957245721,0.25628684994682965,0.7977293504774965,-1.1308724232508858,1.4711102830680367,0.3347600562510762,0.27140387113213105,47
Spec5_LogY,aging_rate,0.022404602086421255,0.007913739169594437,2.8311019110286706,0.004638793817316521,0.006893958330972243,0.03791524584187027,0.3347600562510762,0.27140387113213105,47
Spec5_LogY,pop_density,1.5420131720270906e-05,1.9602844863770547e-05,0.7866272384152762,0.43150010931705385,-2.300073820724535e-05,5.384100164778716e-05,0.3347600562510762,0.27140387113213105,47
Spec5_LogY,income_per_capita,3.519405416991866e-05,7.215348665791529e-05,0.487766507206729,0.6257152374394628,-0.0001062241810385866,0.00017661228937842393,0.3347600562510762,0.27140387113213105,47
Spec6_Interaction,solo_elderly_rate,-30599554.253504284,27529277.6873764,-1.111527683399255,0.2663412808641392,-84555947.04116413,23356838.53415557,0.39661197828512307,0.3230280731979429,47
Spec6_Interaction,aging_rate,128338.017715583,45983.68712680985,2.7909466537918868,0.0052554133293272335,38211.64707067759,218464.3883604884,0.39661197828512307,0.3230280731979429,47
Spec6_Interaction,pop_density,4.440329771706388,121.46152060826785,0.03655750191064326,0.9708378294236862,-233.61987612796815,242.50053567138093,0.39661197828512307,0.3230280731979429,47
Spec6_Interaction,income_per_capita,-2074.360628379424,1777.6704299907606,-1.1668983144362735,0.24325143670446936,-5558.530647543146,1409.8093907842986,0.39661197828512307,0.3230280731979429,47
Spec6_Interaction,iso_inc_interact,10275.654331011434,9346.080483438274,1.0994613570063312,0.27156688052027467,-8042.326813140282,28593.63547516315,0.39661197828512307,0.3230280731979429,47
